Crime, 3.685043693003225, 5319
Romance, 3.5427121571630567, 7719
Thriller, 3.5229643285084498, 8654
Adventure, 3.517444633654892, 4145
Drama, 3.677184674800756, 25606
War, 3.7914657875591984, 1874
Documentary, 3.7052805249822454, 5605
Fantasy, 3.5115889157486, 2731
Mystery, 3.670169244577933, 2925
Musical, 3.554715987107105, 1054
Animation, 3.614946348438093, 2929
Film-Noir, 3.9257281769386028, 353
(no genres listed), 3.326379239118188, 5062
IMAX, 3.6037121959523324, 195
Horror, 3.2935633075659174, 5989
Western, 3.5857553061515595, 1399
Comedy, 3.4239925478057365, 16870
Children, 3.4325074920278045, 2935
Action, 3.4665917497681593, 7348
Sci-Fi, 3.4781433928067798, 3595
